name,time,activity,ax,ay,az,batch_val,gx,gy,gz,ibat,index,middle,pitch,roll,temp,thumb,ts,vbat,yaw
rg,1625137585793246303,1,0.0308,-0.4067,0.9106,1,-65.7959,-12.3901,13.9771,81,1.1115,1.0535,-27.2976,-47.9964,31,0.7304,19930,4.0568,146.3812
rg,1625137585793276240,1,0.0022,-0.437,0.9231,2,-73.0591,-18.2495,18.3105,81,1.1085,1.0515,-26.2668,-50.4304,31,0.7304,8575,4.0568,147.0573
rg,1625137585793296174,1,0.0256,-0.4917,0.925,3,-75.5005,-23.1934,18.1274,81,1.1065,1.0485,-25.5808,-53.1803,31,0.7294,7974,4.0568,148.1715
rg,1625137585793314996,1,0.0391,-0.4932,0.9224,4,-75.7446,-37.7808,17.5781,81,1.1045,1.0465,-25.0745,-55.8944,31,0.7304,7989,4.0568,149.4987
rg,1625137585793332874,1,0.0447,-0.5081,0.9319,5,-73.3032,-47.6074,14.1602,81,1.1035,1.0435,-24.8608,-58.5397,31,0.7304,8010,4.0568,151.0921
rg,1625137585793361792,1,0.0483,-0.5713,0.9312,6,-71.4111,-52.9175,12.146,81,1.1025,1.0425,-24.9679,-61.139,31,0.7314,7994,4.0568,153.0829
rg,1625137585793380189,1,0.0581,-0.5862,0.9185,7,-64.9414,-68.7256,7.6904,81,1.1025,1.0415,-25.2318,-63.7208,31,0.7314,8004,4.0568,155.4038
rg,1625137585793397769,1,0.1257,-0.5928,0.8921,8,-55.7251,-78.2471,7.1411,81,1.1015,1.0415,-25.7017,-66.0808,31,0.7314,8046,4.0568,158.1261
rg,1625137585793414943,1,0.2017,-0.5796,0.8467,9,-51.6968,-80.8105,9.0332,81,1.1015,1.0425,-26.1281,-68.2963,31,0.7314,8059,4.0568,161.1058
rg,1625137585793431801,1,0.0959,-0.4558,0.7297,10,-69.7632,-35.0952,32.1045,81,1.0795,1.0435,-24.7572,-70.463,31,0.7284,33395,4.0568,162.4025
rg,1625137585793449994,1,0.0776,-0.5684,0.7815,11,-101.2573,-43.457,46.5088,81,1.0515,1.0295,-22.9121,-74.0687,31,0.7244,8207,4.0568,164.2124
rg,1625137585793468019,1,0.2136,-0.71,0.7925,12,-125.061,-59.3262,61.8896,81,0.9875,1.0035,-20.754,-78.9212,31,0.7194,8116,4.0568,166.7918
rg,1625137585793485507,1,0.439,-1.2097,0.7751,13,57.373,103.8818,5.249,178,0.7604,0.2481,-19.1363,-72.4749,31,0.6823,14075,4.0007,161.0601
rg,1625137585793502625,1,0.1348,-0.7883,0.5454,14,101.0742,143.5547,11.1694,178,0.7824,0.2561,-16.2957,-66.0687,31,0.6853,8013,4.0007,155.3793
rg,1625137585793519799,1,-0.1003,-0.6831,0.4009,15,69.7021,148.6816,24.231,178,0.8024,0.2641,-11.9356,-61.7793,31,0.6873,7877,4.0007,150.2667
rg,1625137585793546791,1,-0.22,-0.7104,0.4558,16,49.4385,142.6392,23.3154,178,0.8134,0.2671,-7.6565,-59.7599,31,0.6893,7770,4.0007,146.3554
rg,1625137585793565020,1,-0.4463,-0.8096,0.564,17,4.2114,74.8901,18.6157,178,0.8164,0.2711,-4.3037,-59.1821,31,0.6903,7934,4.0007,144.1217
rg,1625137585793582675,1,-0.2725,-0.8933,0.6101,18,-72.4487,-65.0024,18.1885,178,0.8024,0.2751,-4.2153,-62.1207,31,0.6923,7819,4.0007,146.7249
rg,1625137585793599515,1,-0.0427,-0.9622,0.6965,19,-103.0273,-114.8682,17.5171,178,0.7664,0.2811,-5.6254,-66.3626,31,0.6923,7980,4.0007,151.1666
rg,1625137585793616633,1,0.2112,-1.176,0.6028,20,-115.9058,-142.334,13.0005,178,0.7324,0.2791,-7.3013,-71.4647,31,0.6883,7884,4.0007,156.6879
rg,1625137585793633621,1,0.4041,-1.3896,0.4592,21,-81.604,-112.3047,36.9873,178,0.7143,0.2681,-7.4716,-75.3339,31,0.6783,8020,4.0007,161.4596
rg,1625137585793650442,1,0.4429,-1.3674,0.553,22,-53.7109,-73.1812,36.6211,178,0.7133,0.2441,-7.0912,-77.594,31,0.6823,7949,4.0007,164.6382
rg,1625137585793667375,1,0.1926,-1.2024,0.3867,23,68.4204,-12.146,36.1328,178,0.7083,0.2361,-5.8683,-74.7238,31,0.6793,8064,4.0007,165.4261
rg,1625137585793683992,1,0.2339,-0.7803,0.2571,24,103.0884,-43.0908,19.9585,178,0.7083,0.2291,-6.0074,-70.6726,31,0.6763,8081,4.0007,167.2886
rg,1625137585793700629,1,0.0745,-0.5242,0.0447,25,132.3242,-24.5361,-11.4746,178,0.7083,0.2251,-6.3569,-66.3072,31,0.6733,8117,4.0007,168.1457
rg,1625137585793717098,1,-0.1069,-0.0984,-0.0286,26,135.8643,18.4326,-27.1606,178,0.7103,0.2281,-5.255,-61.7822,31,0.6723,8040,4.0007,167.1922
rg,1625137585793734586,1,-0.2434,-0.0183,-0.0134,27,34.668,74.646,9.2163,178,0.7123,0.2371,-1.2475,-60.4515,31,0.6723,8161,4.0007,164.7993
rg,1625137585793751352,1,-0.2278,-0.1438,0.0437,28,-43.7012,52.7344,30.5176,178,0.7153,0.2371,0.829,-64.8492,31,0.6743,8155,4.0007,165.02
rg,1625137585793767859,1,0.1194,-0.8716,1.0955,29,-182.5562,-24.1699,32.4097,178,0.7224,0.2501,1.3075,-71.3139,31,0.6763,10318,4.0007,166.1849
rg,1625137585793784458,1,0.2371,-1.7349,0.813,30,-107.666,2.3193,27.4048,178,0.7284,0.2551,2.0513,-75.341,31,0.6803,8115,4.0007,166.4237
rg,1625137585793801038,1,0.3538,-1.6672,0.7759,31,28.8696,40.5884,14.4653,178,0.7454,0.2561,2.5243,-73.8295,31,0.6823,8154,4.0007,165.0148
rg,1625137585793817637,1,0.1418,-1.0693,0.8281,32,113.4033,85.7544,-2.9907,178,0.7704,0.2611,3.1696,-68.6183,31,0.6833,8460,4.0007,161.7473
